,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
28200,2013030001709,2,2,1,1,7,3,0,0,0,0,0,21,2
28201,2013030001709,2,3,2,1,5,3,0,0,1,0,0,21,2
28206,2013030001725,1,1,1,2,11,3,0,0,0,0,0,9,1
28221,2013030001762,1,1,1,1,9,3,0,0,0,0,0,9,3
28222,2013030001762,1,2,2,1,6,3,0,0,1,0,0,9,3
28227,2013030001779,1,1,1,1,6,3,0,0,0,0,0,9,-1
28228,2013030001780,1,1,1,1,5,3,0,0,0,0,0,9,1
28318,2013030001943,1,1,1,2,6,3,0,0,0,0,0,9,1
28373,2013030002046,1,1,1,1,10,2,0,0,0,0,0,21,-1
28447,2013030002126,2,1,1,2,5,3,0,0,0,0,0,9,1
28448,2013030002126,2,2,2,2,1,3,0,0,2,0,0,9,1
28450,2013030002144,1,1,1,2,7,3,0,0,0,0,0,9,1
28499,2013030002228,1,1,1,1,8,3,0,0,0,0,0,19,1
28520,2013030002280,1,1,1,1,7,1,0,0,0,0,0,21,2
28567,2013030002362,1,1,1,1,7,1,0,0,0,0,0,9,1
28568,2013030002362,2,2,1,1,7,3,0,0,0,0,0,19,1
28577,2013030002379,1,1,1,2,4,3,0,0,0,0,0,9,1
28578,2013030002379,2,2,1,2,10,3,0,0,0,0,0,9,2
28590,2013030002391,1,1,1,1,-1,3,0,0,0,0,0,9,3
28620,2013030002443,1,1,1,1,6,3,0,0,0,0,0,9,3
28637,2013030002500,1,1,1,2,8,3,0,0,0,0,0,9,3
28638,2013030002500,1,2,2,1,8,2,0,0,1,0,0,9,3
28647,2013030002509,1,1,1,2,5,3,0,0,0,0,0,9,3
28650,2013030002520,1,1,1,1,5,3,0,0,0,0,0,9,3
28776,2013030002754,1,1,2,1,6,3,0,0,1,0,0,9,1
28786,2013030002781,2,1,1,2,9,3,0,0,0,0,0,9,3
28799,2013030002801,1,1,1,1,8,3,0,0,0,0,0,19,1
28842,2013030002879,1,1,1,1,9,3,0,0,0,0,0,21,-1
28843,2013030002879,1,2,2,1,9,3,0,0,1,0,0,21,-1
28849,2013030002888,1,1,1,1,7,3,0,0,0,0,0,9,1
28850,2013030002888,2,2,1,1,6,3,0,0,0,0,0,9,1
29854,201304BA13077,2,1,2,2,7,3,0,0,1,0,0,9,-1
30045,201304BB13058,2,1,2,1,9,3,0,0,1,0,0,9,2
30458,201304BC13205,1,1,1,2,5,3,0,0,0,0,0,9,1
30664,201304CA13115,1,1,1,1,11,3,0,0,0,0,0,4,1
30819,201304CA13228,1,1,1,1,8,3,0,0,0,0,0,9,1
30820,201304CA13228,1,2,2,1,5,3,0,0,1,0,0,9,-1
31411,201304CL13130,2,1,1,1,8,3,0,0,0,0,0,19,1
31446,201304CL13157,1,1,1,1,7,3,0,0,0,0,0,21,-1
31533,201304CL13214,1,1,1,2,4,3,0,0,0,0,0,9,2
31579,201304CL13247,1,1,1,2,4,3,0,0,0,0,0,9,1
31580,201304CL13247,1,4,2,2,5,3,0,0,1,0,0,9,-1
31581,201304CL13247,1,5,2,2,5,3,0,0,2,0,0,9,1
31582,201304CL13247,2,2,1,2,5,3,0,0,0,0,0,9,3
31583,201304CL13247,2,3,2,1,6,3,0,0,1,0,0,9,3
31800,201304DF13053,1,1,2,2,8,3,0,0,2,0,0,10,1
31801,201304DF13053,1,2,2,1,7,3,0,0,2,0,0,10,1
31802,201304DF13053,1,3,2,1,7,3,0,0,2,0,0,10,1
31803,201304DF13053,2,4,2,1,7,3,0,0,2,0,0,10,1
31804,201304DF13053,2,5,2,1,6,3,0,0,2,0,0,10,1
31821,201304DF13072,1,1,1,1,10,3,0,0,0,0,0,9,1
32593,201304EA13379,1,1,1,2,5,3,0,0,0,0,0,9,1
32772,201304EL13110,2,1,1,2,7,3,0,0,0,0,0,9,1
33476,201304FG13060,1,1,1,1,8,3,0,0,0,0,0,9,1
33477,201304FG13060,1,3,2,2,8,3,0,0,2,0,0,9,1
33478,201304FG13060,2,2,1,1,8,3,0,0,0,0,0,9,2
33748,201304TA13001,1,1,1,2,8,3,0,0,0,0,0,9,1
33749,201304TA13001,2,2,1,2,7,3,0,0,0,0,0,9,1
33750,201304TA13001,2,3,2,1,3,3,0,0,2,0,0,9,1
33751,201304TA13002,1,1,1,2,5,3,0,0,0,0,0,8,1
33752,201304TA13003,1,1,1,1,7,3,0,0,0,0,0,19,-1
33753,201304TA13004,2,1,2,2,4,3,0,0,1,0,0,9,1
33754,201304TA13005,2,1,1,2,10,3,0,0,0,0,0,9,1
33755,201304TA13005,2,2,2,1,10,3,0,0,1,0,0,9,1
33756,201304TA13006,1,1,1,1,8,3,0,0,0,0,0,19,1
33757,201304TA13007,2,1,1,2,6,3,0,0,0,0,0,9,1
33758,201304TA13008,1,1,1,1,8,3,0,0,0,0,0,9,1
33759,201304TA13009,1,1,1,1,11,3,0,0,0,0,0,9,3
33760,201304TA13010,1,1,1,1,5,3,0,0,0,0,0,9,1
33761,201304TA13010,2,2,1,1,6,3,0,0,0,0,0,9,-1
33762,201304TA13011,2,1,2,2,7,3,0,0,1,0,0,9,-1
33763,201304TA13012,1,1,1,1,6,2,0,0,0,0,0,9,1
33764,201304TA13013,2,1,1,1,6,3,0,0,0,0,0,9,-1
33765,201304TA13014,1,1,1,1,5,3,0,0,0,0,0,9,2
33766,201304TA13015,2,1,1,2,6,3,0,0,0,0,0,9,2
33767,201304TA13016,1,1,1,1,8,3,0,0,0,0,0,19,1
33768,201304TA13017,2,1,1,2,5,3,0,0,0,0,0,9,-1
33769,201304TA13018,1,2,2,1,1,3,0,0,2,0,0,9,1
33770,201304TA13018,2,1,1,2,8,3,0,0,0,0,0,9,3
33771,201304TA13019,2,1,1,2,9,3,0,0,0,0,0,9,1
33772,201304TA13020,1,1,1,2,8,3,0,0,0,0,0,9,1
33773,201304TA13021,1,1,1,1,6,3,0,0,0,0,0,9,3
33774,201304TA13021,1,2,2,1,2,3,0,0,1,0,0,9,3
33775,201304TA13021,2,3,2,2,5,3,0,0,0,4,0,10,1
33776,201304TA13022,1,1,1,1,5,3,0,0,0,0,0,9,1
33777,201304TA13023,2,1,1,2,6,3,0,0,0,0,0,9,1
33778,201304TA13024,1,1,1,1,9,3,0,0,0,0,0,9,1
33779,201304TA13024,2,2,1,1,9,3,0,0,0,0,0,9,1
33780,201304TA13024,2,3,2,1,5,3,0,0,1,0,0,9,1
33781,201304TA13025,1,1,1,2,4,3,0,0,0,0,0,9,3
33782,201304TA13025,1,2,2,2,4,3,0,0,1,0,0,9,1
33783,201304TA13026,2,1,2,2,10,3,0,0,1,0,0,9,1
33784,201304TA13027,2,1,2,2,6,3,0,0,1,0,0,9,1
33785,201304TA13028,1,1,1,2,5,3,0,0,0,0,0,9,1
33786,201304TA13029,2,1,2,2,7,3,0,0,1,0,0,9,1
33787,201304TA13030,1,1,1,1,6,3,0,0,0,0,0,5,2
33788,201304TA13031,1,1,1,1,8,3,0,0,0,0,0,21,1
33789,201304TA13032,1,1,1,2,4,2,0,0,0,0,0,9,1
33790,201304TA13033,2,1,1,1,8,3,0,0,0,0,0,9,1
