,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
89517,201523M695367,2,3,2,1,26,6,3,0,0,1,0,0,9,-1
89518,201523M695394,1,1,1,1,54,8,3,0,0,0,0,0,9,-1
89519,201523M695394,2,2,1,1,48,8,3,0,0,0,0,0,9,1
89520,201523M695394,4,3,1,2,64,9,3,0,0,0,0,0,9,3
89521,201523M695676,1,1,1,1,34,6,3,0,0,0,0,0,9,2
89522,201523M695677,1,1,1,1,23,5,3,0,0,0,0,0,9,1
89523,201523M695677,2,2,1,2,56,9,3,0,0,0,0,0,9,-1
89524,201523M695807,2,1,2,1,70,10,3,0,0,1,0,0,9,1
89525,201523M696241,1,1,1,2,25,5,3,0,0,0,0,0,9,1
89526,201523M696244,1,1,1,1,39,7,3,0,0,0,0,0,9,1
89527,201523M696244,2,2,1,2,49,8,3,0,0,0,0,0,9,1
89528,201523M696261,1,1,1,1,22,5,3,0,0,0,0,0,9,1
89529,201523M696261,1,2,2,2,25,5,3,0,0,1,0,0,9,1
89530,201523M696575,1,1,1,1,31,6,3,0,0,0,0,0,9,1
89753,201523N025779,2,1,1,2,35,6,3,0,0,0,0,0,9,2
89835,201523N026001,2,1,1,2,33,6,3,0,0,0,0,0,9,1
89968,201523N026392,1,2,2,2,65,9,3,0,0,1,0,0,9,1
89969,201523N026392,2,1,1,1,39,7,3,0,0,0,0,0,19,1
90238,201523N036230,2,1,1,1,38,7,3,0,0,0,0,0,9,1
90299,201523N065277,2,1,1,1,26,6,3,0,0,0,0,0,19,1
90624,201523S012222,1,1,1,2,44,7,3,0,0,0,0,0,9,2
90962,2015300011499,1,1,1,1,35,6,3,0,0,0,0,0,9,1
91017,2015300011632,1,1,1,1,38,7,3,0,0,0,0,0,9,1
91018,2015300011632,1,2,2,1,27,6,3,0,0,1,0,0,9,1
91073,2015300011778,3,1,1,1,35,6,3,0,0,0,0,0,9,1
91115,2015300011894,2,1,1,1,50,8,2,0,0,0,0,0,9,2
91186,2015300012037,2,1,1,1,43,7,3,0,0,0,0,0,9,1
91242,2015300012194,1,1,1,1,49,8,3,0,0,0,0,0,9,1
91243,2015300012194,2,2,1,1,60,9,3,0,0,0,0,0,9,1
91252,2015300012211,2,1,1,2,32,6,3,0,0,0,0,0,9,1
91291,2015300012298,2,1,1,1,44,7,3,0,0,0,0,0,9,1
91292,2015300012298,3,2,2,2,11,3,3,0,0,2,0,0,9,1
91323,2015300012382,1,1,1,1,52,8,3,0,0,0,0,0,9,1
91334,2015300012416,1,1,1,1,59,9,3,0,0,0,0,0,9,1
91381,2015300012527,2,1,1,1,50,8,3,0,0,0,0,0,9,1
91400,2015300012560,2,2,1,2,48,8,3,0,0,0,0,0,9,1
91405,2015300012568,2,1,1,1,54,8,3,0,0,0,0,0,9,2
91406,2015300012568,2,2,2,2,56,9,3,0,0,1,0,0,9,3
91442,2015300012625,1,1,1,1,71,10,3,0,0,0,0,0,9,1
91443,2015300012625,1,2,2,2,71,10,3,0,0,2,0,0,9,1
91507,2015300012771,2,1,1,1,70,10,3,0,0,0,0,0,9,3
91508,2015300012773,1,1,1,1,71,10,3,0,0,0,0,0,9,1
91511,2015300012779,1,1,1,1,55,8,3,0,0,0,0,0,9,-1
91556,2015300012898,2,1,1,1,48,8,3,0,0,0,0,0,9,1
91579,2015300012936,2,1,1,2,43,7,3,0,0,0,0,0,9,3
91603,2015300013006,3,1,1,1,37,7,3,0,0,0,0,0,9,1
91669,2015300013182,1,1,1,1,22,5,3,0,0,0,0,0,20,-1
91670,2015300013182,1,2,2,1,23,5,3,0,0,0,0,0,20,2
91671,2015300013182,1,3,2,1,19,4,3,0,0,0,0,0,20,1
91672,2015300013182,2,4,1,1,29,6,3,0,0,0,0,0,9,1
91673,2015300013182,3,5,1,1,44,7,3,0,0,0,0,0,9,2
91686,2015300013206,2,1,1,1,45,7,3,0,0,0,0,0,9,1
91687,2015300013206,2,2,2,2,8,2,3,0,0,1,0,0,9,-1
91805,2015300013471,2,1,1,1,27,6,3,0,0,0,0,0,9,1
